yearID,LgID,LeagueName,SubLeagueID,divID,TeamID,Franchise/AffiliationID,Rank/Wpct,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IP,HA,HRA,BBA,SOA,E,DP,FP,name,City,Team Nickname,Park,attendance,BPF,PPF,4,MiLBFranchise
1990,KFL,2-Gun League,2-Gun,,SAM2,SAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samsung,Samsung,Lions,,,,,4,SAM2
1990,KFL,2-Gun League,2-Gun,,BGR2,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BINGRE,BINGRE,Eagles,,,,,4,BGR2
1990,KFL,2-Gun League,2-Gun,,HAI2,HAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haitai,Haitai,Tigers,,,,,4,HAI2
1990,KFL,2-Gun League,2-Gun,,LOT2,LOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lotte,Lotte,Giants,,,,,4,LOT2
1990,KFL,2-Gun League,2-Gun,,SBW2,SBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ssangbangwool,Ssangbangwool,Raiders,,,,,4,SBW2
1990,KFL,2-Gun League,2-Gun,,TAI2,TAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taipyungyang,Taipyungyang,Dolphins,,,,,4,TAI2
1990,KFL,2-Gun League,2-Gun,,LG2,LG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG,LG,Twins,,,,,4,LG2
1990,KFL,2-Gun League,2-Gun,,OB2,OB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OB,OB,Bears,,,,,4,OB2
1991,KFL,2-Gun League,2-Gun,,SAM2,SAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samsung,Samsung,Lions,,,,,4,SAM2
1991,KFL,2-Gun League,2-Gun,,BGR2,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BINGRE,BINGRE,Eagles,,,,,4,BGR2
1991,KFL,2-Gun League,2-Gun,,HAI2,HAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haitai,Haitai,Tigers,,,,,4,HAI2
1991,KFL,2-Gun League,2-Gun,,LOT2,LOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lotte,Lotte,Giants,,,,,4,LOT2
1991,KFL,2-Gun League,2-Gun,,SBW2,SBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ssangbangwool,Ssangbangwool,Raiders,,,,,4,SBW2
1991,KFL,2-Gun League,2-Gun,,TAI2,TAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taipyungyang,Taipyungyang,Dolphins,,,,,4,TAI2
1991,KFL,2-Gun League,2-Gun,,LG2,LG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG,LG,Twins,,,,,4,LG2
1991,KFL,2-Gun League,2-Gun,,OB2,OB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OB,OB,Bears,,,,,4,OB2
1992,KFL,2-Gun League,2-Gun,,SAM2,SAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samsung,Samsung,Lions,,,,,4,SAM2
1992,KFL,2-Gun League,2-Gun,,TAI2,TAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taipyungyang,Taipyungyang,Dolphins,,,,,4,TAI2
1992,KFL,2-Gun League,2-Gun,,LOT2,LOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lotte,Lotte,Giants,,,,,4,LOT2
1992,KFL,2-Gun League,2-Gun,,OB2,OB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OB,OB,Bears,,,,,4,OB2
1992,KFL,2-Gun League,2-Gun,,LG2,LG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG,LG,Twins,,,,,4,LG2
1992,KFL,2-Gun League,2-Gun,,HAI2,HAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haitai,Haitai,Tigers,,,,,4,HAI2
1992,KFL,2-Gun League,2-Gun,,BGR2,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BINGRE,BINGRE,Eagles,,,,,4,BGR2
1992,KFL,2-Gun League,2-Gun,,SBW2,SBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ssangbangwool,Ssangbangwool,Raiders,,,,,4,SBW2
1993,KFL,2-Gun League,2-Gun,,SAM2,SAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samsung,Samsung,Lions,,,,,4,SAM2
1993,KFL,2-Gun League,2-Gun,,TAI2,TAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taipyungyang,Taipyungyang,Dolphins,,,,,4,TAI2
1993,KFL,2-Gun League,2-Gun,,LOT2,LOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lotte,Lotte,Giants,,,,,4,LOT2
1993,KFL,2-Gun League,2-Gun,,OB2,OB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OB,OB,Bears,,,,,4,OB2
1993,KFL,2-Gun League,2-Gun,,LG2,LG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG,LG,Twins,,,,,4,LG2
1993,KFL,2-Gun League,2-Gun,,HAI2,HAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haitai,Haitai,Tigers,,,,,4,HAI2
1993,KFL,2-Gun League,2-Gun,,BGR2,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BINGRE,BINGRE,Eagles,,,,,4,BGR2
1993,KFL,2-Gun League,2-Gun,,SBW2,SBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ssangbangwool,Ssangbangwool,Raiders,,,,,4,SBW2
1994,KFL,2-Gun League,2-Gun,,SAM2,SAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samsung,Samsung,Lions,,,,,4,SAM2
1994,KFL,2-Gun League,2-Gun,,TAI2,TAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taipyungyang,Taipyungyang,Dolphins,,,,,4,TAI2
1994,KFL,2-Gun League,2-Gun,,LOT2,LOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lotte,Lotte,Giants,,,,,4,LOT2
1994,KFL,2-Gun League,2-Gun,,OB2,OB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OB,OB,Bears,,,,,4,OB2
1994,KFL,2-Gun League,2-Gun,,LG2,LG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG,LG,Twins,,,,,4,LG2
1994,KFL,2-Gun League,2-Gun,,HAI2,HAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haitai,Haitai,Tigers,,,,,4,HAI2
1994,KFL,2-Gun League,2-Gun,,HH2,HH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hanwha,Hanwha,Eagles,,,,,4,HH2
1994,KFL,2-Gun League,2-Gun,,SBW2,SBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ssangbangwool,Ssangbangwool,Raiders,,,,,4,SBW2
1995,KFL,2-Gun League,2-Gun,,SAM2,SAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samsung,Samsung,Lions,,,,,4,SAM2
1995,KFL,2-Gun League,2-Gun,,TAI2,TAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taipyungyang,Taipyungyang,Dolphins,,,,,4,TAI2
1995,KFL,2-Gun League,2-Gun,,LOT2,LOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lotte,Lotte,Giants,,,,,4,LOT2
