yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin/Ties,MadeWC,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,hist_team_id,ros_team_id,unique_id
1982,AL,HAI,HAI,W,,80,,38,42,,,,,374,2665,696,110,14,84,235,296,155,52,41,21,388,296,3.762712,24,2,3,2124,698,50,295,348,,,,Haitai Tigers,Mudeung Baseball Stadium,261182,,,HAI,HAI,HAI,130,45,6
1982,AL,LOT,LOT,E,,80,,31,49,,,,,353,2628,674,112,8,59,326,316,84,53,40,27,385,313,3.947221,26,4,4,2141,763,69,261,363,,,,Lotte Giants,Gudeok Baseball Stadium,264295,,,LOT,LOT,LOT,65,65,3
1982,AL,MBC,MBC,W,,80,,46,33,,,,,419,2686,757,124,12,65,268,316,134,59,47,27,350,276,3.508475,19,8,15,2124,660,52,259,394,,,,MBC Chungryong,Dongdaemun Baseball Stadium,298051,,,MBC,MBC,MBC,101,36,5
1982,AL,OB,OB,E,,80,,56,24,Y,Y,Y,Y,399,2745,778,137,23,57,247,254,106,61,41,18,318,257,3.188879,32,4,10,2176,625,41,289,318,,,,OB Bears,Hanwha Life Eagles Park,163822,,,OB,OB,OB,133,60,4
1982,AL,SAM,SAM,E,,80,,53,26,,Y,,,425,2649,705,126,18,57,307,350,147,43,30,18,257,211,2.696167,23,8,17,2113,618,57,187,305,,,,Samsung Lions,Daegu Citizen Baseball Stadium,330467,,,SAM,SAM,SAM,88,32,1
1982,AL,SM,SM,W,,80,,15,65,,,,,302,2653,637,117,20,40,221,371,74,43,29,19,574,479,6.229769,7,0,5,2076,883,93,313,175,,,,Sammi Superstars,Sungui baseball stadium,120951,,,SM,SM,SM,113,37,2
1983,AL,HAI,HAI,W,,100,,55,44,,Y,,Y,422,3282,881,130,15,78,292,372,130,91,40,24,390,310,3.157299,27,10,14,2651,803,56,286,456,,,,Haitai Tigers,Mudeung Baseball Stadium,377964,,,HAI,HAI,HAI,130,45,6
1983,AL,LOT,LOT,E,,100,,43,56,,,,,365,3291,803,132,18,77,307,423,76,62,41,25,464,378,3.789825,29,4,7,2693,935,90,260,415,,,,Lotte Giants,Gudeok Baseball Stadium,397429,,,LOT,LOT,LOT,65,65,3
1983,AL,MBC,MBC,W,,100,,55,43,Y,Y,Y,,412,3327,847,146,21,46,283,371,128,67,60,31,335,275,2.723771,31,6,17,2726,787,45,298,367,,,,MBC Chungryong,Seoul Sports Complex Baseball Stadium,630814,,,MBC,MBC,MBC,101,36,5
1983,AL,OB,OB,E,,100,,44,55,,,,,418,3330,863,141,26,50,279,352,58,46,50,23,432,351,3.540157,27,8,18,2677,897,81,315,329,,,,OB Bears,Hanwha Life Eagles Park,184536,,,OB,OB,OB,133,60,4
1983,AL,SAM,SAM,E,,100,,46,50,,,,,448,3383,889,143,14,90,314,427,70,42,55,27,418,342,3.422535,34,7,12,2698,833,65,335,399,,,,Samsung Lions,Daegu Citizen Baseball Stadium,332942,,,SAM,SAM,SAM,88,32,1
1983,AL,SM,SM,W,,100,,52,47,,,,,346,3344,820,113,14,62,282,413,36,43,46,18,372,308,3.049505,56,7,8,2727,848,66,263,392,,,,Sammi Superstars,Sungui baseball stadium,332436,,,SM,SM,SM,113,37,2
1984,AL,HAI,HAI,W,,100,,43,54,,,,,369,3321,822,143,10,76,313,496,87,52,33,21,398,316,3.172927,26,6,12,2689,833,67,279,459,,,,Haitai Tigers,Mudeung Baseball Stadium,196278,,,HAI,HAI,HAI,130,45,6
1984,AL,LOT,LOT,E,,100,,50,48,,Y,,Y,405,3265,840,139,20,71,326,446,108,66,48,28,390,324,3.311128,26,1,11,2642,865,75,300,454,,,,Lotte Giants,Gudeok Baseball Stadium,429070,,,LOT,LOT,LOT,65,65,3
1984,AL,MBC,MBC,W,,100,,51,48,,,,,375,3317,840,128,35,47,314,446,99,68,40,35,374,318,3.190635,39,6,10,2691,876,59,275,356,,,,MBC Chungryong,Seoul Sports Complex Baseball Stadium,406835,,,MBC,MBC,MBC,101,36,5
1984,AL,OB,OB,E,,100,,58,41,Y,,Y,,382,3183,816,133,18,53,339,367,111,62,43,34,298,250,2.541416,13,2,31,2656,720,51,331,445,,,,OB Bears,Hanwha Life Eagles Park,137385,,,OB,OB,OB,133,60,4
1984,AL,SAM,SAM,E,,100,,55,45,,Y,,,435,3298,889,148,18,78,313,422,74,61,63,18,379,330,3.349624,30,6,13,2660,806,48,380,476,,,,Samsung Lions,Daegu Citizen Baseball Stadium,330205,,,SAM,SAM,SAM,88,32,1
1984,AL,SM,SM,W,,100,,38,59,,,,,334,3319,788,133,14,58,332,474,43,29,34,11,461,405,4.053002,24,2,18,2698,895,83,372,461,,,,Sammi Superstars,Sungui baseball stadium,164947,,,SM,SM,SM,113,37,2
1985,AL,HAI,HAI,W,,110,,57,52,,,,,483,3710,1009,161,13,99,348,386,130,77,33,32,465,400,3.641268,11,2,20,2966,979,83,296,450,,,,Haitai Tigers,Mudeung Baseball Stadium,301188,,,HAI,HAI,HAI,130,45,6
1985,AL,LOT,LOT,E,,110,,59,51,,,,,426,3598,920,168,19,77,352,446,79,58,47,34,420,336,3.047363,32,11,15,2977,936,60,324,513,,,,Lotte Giants,Gudeok Baseball Stadium,377971,,,LOT,LOT,LOT,65,65,3
1985,AL,MBC,MBC,W,,110,,44,65,,,,,345,3624,892,127,19,37,324,452,130,73,39,29,408,354,3.244399,28,4,13,2946,902,63,385,353,,,,MBC Chungryong,Seoul Sports Complex Baseball Stadium,245209,,,MBC,MBC,MBC,101,36,5
1985,AL,OB,OB,E,,110,,51,57,,,,,473,3667,954,147,27,67,354,442,107,76,50,31,416,346,3.135952,25,3,13,2979,882,64,386,433,,,,OB Bears,Dongdaemun Baseball Stadium,252731,,,OB,OB,OB,133,60,4
1985,AL,SAM,SAM,E,,110,,77,32,Y,Y,Y,,552,3644,1005,181,22,97,402,456,116,84,60,43,379,331,2.975033,27,5,41,3004,871,62,368,496,,,,Samsung Lions,Daegu Citizen Baseball Stadium,347286,,,SAM,SAM,SAM,88,32,1
1985,AL,SM,SM,W,,110,,24,30,,,,,200,1828,448,83,3,36,187,226,35,23,22,10,252,226,4.06529,18,1,11,1501,523,59,174,219,,,,Sammi Superstars,Sungui baseball stadium,163980,,,SM,SM,SM,113,37,2
1986,AL,BGR,BGR,W,,108,,31,76,,,,,333,3453,815,121,23,46,420,494,79,85,30,17,467,388,3.65272,42,8,3,2868,932,90,284,407,,,,Bingre Eagles,Hanwha Life Eagles Park,198577,,,BGR,BGR,BGR,64,64,7
1986,AL,CHB,SM,W,,108,,32,74,,,,,318,3449,755,138,10,66,327,519,47,52,42,22,506,427,3.993419,24,6,10,2887,1001,68,356,408,,,,Chungbo Pintos,Sungui baseball stadium,176542,,,SM,SM,SM,113,37,2
1986,AL,HAI,HAI,W,,108,,67,37,,Y,,Y,474,3582,929,136,18,99,321,406,120,78,39,23,372,312,2.857531,28,11,23,2948,857,41,334,533,,,,Haitai Tigers,Mudeung Baseball Stadium,307814,,,HAI,HAI,HAI,130,45,6
1986,AL,LOT,LOT,E,,108,,50,52,,,,,373,3603,894,140,28,37,342,357,89,51,24,19,360,299,2.735683,33,6,11,2951,896,48,325,520,,,,Lotte Giants,Gudeok Baseball Stadium,523082,,,LOT,LOT,LOT,65,65,3
1986,AL,MBC,MBC,W,,108,,59,41,,,,,434,3644,964,152,29,37,315,429,116,59,55,35,361,304,2.779546,11,3,30,2953,880,45,341,415,,,,MBC Chungryong,Seoul Sports Complex Baseball Stadium,367690,,,MBC,MBC,MBC,101,36,5
1986,AL,OB,OB,E,,108,,56,48,,Y,,,369,3531,880,113,32,38,336,395,78,69,39,29,341,283,2.610523,30,12,19,2927,820,43,390,394,,,,OB Bears,Seoul Sports Complex Baseball Stadium,293357,,,OB,OB,OB,133,60,4
1986,AL,SAM,SAM,E,,108,,70,37,Y,Y,Y,,475,3617,997,177,22,74,354,465,111,68,48,31,369,317,2.953416,34,7,33,2898,848,62,385,388,,,,Samsung Lions,Daegu Citizen Baseball Stadium,274050,,,SAM,SAM,SAM,88,32,1
1987,AL,BGR,BGR,W,,108,,47,57,,,,,410,3547,972,145,22,48,326,423,79,85,54,23,454,401,3.777739,51,6,7,2866,970,75,281,364,,,,Bingre Eagles,Hanwha Life Eagles Park,148301,,,BGR,BGR,BGR,64,64,7
1987,AL,CHB,SM,W,,108,,41,65,,,,,401,3499,848,151,14,54,400,502,127,80,27,17,524,463,4.358787,42,5,9,2868,1063,69,327,328,,,,Chungbo Pintos,Sungui baseball stadium,153395,,,SM,SM,SM,113,37,2
1987,AL,HAI,HAI,W,,108,,55,48,,Y,,Y,393,3609,910,151,12,71,335,379,90,44,44,26,401,344,3.152749,26,8,14,2946,864,52,372,494,,,,Haitai Tigers,Mudeung Baseball Stadium,217616,,,HAI,HAI,HAI,130,45,6
1987,AL,LOT,LOT,E,,108,,54,49,,,,,432,3625,970,161,27,40,390,330,99,50,34,20,404,364,3.357704,51,12,9,2927,971,40,331,504,,,,Lotte Giants,Sajik Baseball Stadium1,583601,,,LOT,LOT,LOT,65,65,3
1987,AL,MBC,MBC,W,,108,,50,51,,,,,388,3566,919,117,38,36,296,354,91,54,43,28,407,363,3.362264,20,4,26,2915,966,48,335,372,,,,MBC Chungryong,Seoul Sports Complex Baseball Stadium,383408,,,MBC,MBC,MBC,101,36,5
1987,AL,OB,OB,E,,108,,55,52,,Y,,,415,3548,927,123,34,30,342,369,73,49,24,25,405,348,3.260236,38,8,21,2882,906,38,407,383,,,,OB Bears,Seoul Sports Complex Baseball Stadium,272217,,,OB,OB,OB,133,60,4
1987,AL,SAM,SAM,E,,108,,64,44,Y,Y,Y,,583,3731,1120,165,29,105,380,448,102,51,40,40,427,381,3.5756,26,8,30,2877,926,62,416,360,,,,Samsung Lions,Daegu Citizen Baseball Stadium,261137,,,SAM,SAM,SAM,88,32,1
1988,AL,BGR,BGR,W,,108,,62,45,,Y,,,506,3616,961,177,21,73,332,463,83,51,52,33,441,402,3.722222,27,8,28,2916,1015,72,298,394,,,,Bingre Eagles,Hanwha Life Eagles Park,211402,,,BGR,BGR,BGR,64,64,7
1988,AL,HAI,HAI,W,,108,,68,38,Y,Y,Y,Y,505,3604,1019,135,14,112,345,382,136,58,44,33,364,308,2.861666,26,7,23,2906,849,58,297,501,,,,Haitai Tigers,Mudeung Baseball Stadium,210959,,,HAI,HAI,HAI,130,45,6
1988,AL,LOT,LOT,E,,108,,57,49,,,,,482,3578,967,142,18,68,347,333,128,64,40,24,449,391,3.63033,30,7,18,2908,968,56,330,477,,,,Lotte Giants,Sajik Baseball Stadium2,648661,,,LOT,LOT,LOT,65,65,3
1988,AL,MBC,MBC,W,,108,,40,64,,,,,408,3652,951,132,27,42,321,384,119,61,34,23,491,423,3.960125,36,4,14,2884,1038,69,373,347,,,,MBC Chungryong,Seoul Sports Complex Baseball Stadium,239562,,,MBC,MBC,MBC,101,36,5
1988,AL,OB,OB,E,,108,,54,52,,,,,418,3584,923,145,25,44,321,375,88,39,28,31,447,402,3.732462,17,5,19,2908,933,69,381,388,,,,OB Bears,Seoul Sports Complex Baseball Stadium,275061,,,OB,OB,OB,133,60,4
1988,AL,SAM,SAM,E,,108,,56,50,,Y,,,516,3692,1028,150,20,85,381,493,110,63,42,24,492,449,4.178904,22,9,21,2901,953,80,403,341,,,,Samsung Lions,Daegu Citizen Baseball Stadium,177774,,,SAM,SAM,SAM,88,32,1
1988,AL,TAI,SM,W,,108,,34,73,,,,,387,3529,920,163,23,58,339,404,83,65,26,25,538,478,4.566879,20,3,11,2826,1013,78,304,386,,,,Taipyungyang Dolphins,Sungui baseball stadium,168726,,,SM,SM,SM,113,37,2
1989,AL,BGR,BGR,W,,108,,71,46,Y,Y,Y,,595,4064,1121,208,26,97,412,544,122,61,48,45,476,415,3.46904,26,6,26,3230,982,75,433,537,,,,Bingre Eagles,Hanwha Life Eagles Park,298860,,,BGR,BGR,BGR,64,64,7
1989,AL,HAI,HAI,W,,108,,65,51,,Y,,Y,500,3963,1011,142,10,90,470,508,112,73,48,26,442,400,3.337454,30,12,20,3236,928,63,400,695,,,,Haitai Tigers,Mudeung Baseball Stadium,326607,,,HAI,HAI,HAI,130,45,6
